lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value
ENSG00000255198	ENSG00000101412	-0.3816419	0.08779916	0.09525396	0.251115
ENSG00000235823	ENSG00000101412	-0.4287347	0.05247177	0.1009121	0.2239254
ENSG00000259974	ENSG00000205250	-0.01865313	0.936037	0.1411288	0.08818817
ENSG00000175611	ENSG00000205250	0.08363306	0.7185336	0.2175306	0.008128743
ENSG00000233429	ENSG00000205250	0.3741478	0.09474199	0.3726703	3.345519e-06
ENSG00000255198	ENSG00000205250	0.1114999	0.6303927	-0.1930129	0.01916797
ENSG00000226950	ENSG00000205250	-0.1122392	0.6281127	0.06069115	0.4652479
ENSG00000197989	ENSG00000205250	0.2346	0.3060156	0.3407815	2.40416e-05
ENSG00000177640	ENSG00000205250	-0.5414692	0.0112418	0.2042555	0.01308142
ENSG00000180769	ENSG00000205250	-0.1888934	0.4121963	0.1256514	0.1294048
ENSG00000227354	ENSG00000205250	-0.351848	0.1177849	0.232904	0.004527617
ENSG00000231028	ENSG00000205250	0.06395851	0.7829864	0.04795325	0.5640943
ENSG00000245910	ENSG00000205250	0.09956042	0.66765	0.2985344	0.0002399521
ENSG00000182586	ENSG00000205250	-0.1969584	0.3921432	-0.02996944	0.7185935
ENSG00000236790	ENSG00000205250	0.1801068	0.4346643	0.1229439	0.1379352
ENSG00000235823	ENSG00000205250	-0.3394685	0.1321944	0.3045745	0.0001763
ENSG00000247400	ENSG00000205250	-0.3255446	0.1498511	0.1217918	0.1416923
ENSG00000264575	ENSG00000205250	-0.171266	0.4579103	0.1768946	0.03208446
ENSG00000253738	ENSG00000205250	-0.03914708	0.8662108	0.3267247	5.369719e-05
ENSG00000182165	ENSG00000205250	-0.09625235	0.6781121	0.08014381	0.3345698
ENSG00000255794	ENSG00000205250	0.1785059	0.4388264	0.196462	0.01708233
ENSG00000238197	ENSG00000205250	0.05236247	0.8216558	0.2189899	0.007701759
ENSG00000235823	ENSG00000169016	0.4752252	0.02946916	0.2013874	0.01444661
ENSG00000253738	ENSG00000169016	0.5357032	0.01231791	0.5663032	7.689622e-14
ENSG00000255198	ENSG00000169016	0.5242752	0.01469811	-0.1775767	0.03141672
ENSG00000227354	ENSG00000169016	0.4136207	0.06234185	0.359834	7.591694e-06
ENSG00000242808	ENSG00000169016	0.6637386	0.001035676	0.1461606	0.07731632
ENSG00000245910	ENSG00000169016	0.1967831	0.3925732	0.09731493	0.2409587
ENSG00000182165	ENSG00000169016	0.3709122	0.09786111	0.1665221	0.04381726
ENSG00000180769	ENSG00000169016	0.6756904	0.0007744885	0.4546561	7.258869e-09
ENSG00000197989	ENSG00000169016	-0.3826797	0.08686826	-0.02108631	0.7998791
ENSG00000175611	ENSG00000169016	0.7434233	0.0001124668	0.2176824	0.008083379
ENSG00000247400	ENSG00000169016	0.07245648	0.7549524	0.1825035	0.02693468
ENSG00000226950	ENSG00000169016	0.2128095	0.3543572	-0.0912213	0.2718332
ENSG00000264575	ENSG00000169016	0.5842275	0.005418534	0.3432017	2.085234e-05
ENSG00000177640	ENSG00000169016	0.2708806	0.234957	0.2850331	0.0004666268
ENSG00000238197	ENSG00000169016	0.7044551	0.0003638379	0.3775469	2.42784e-06
ENSG00000251562	ENSG00000129173	-0.06995743	0.7631674	0.01113941	0.8934742
ENSG00000264575	ENSG00000164330	0.1122944	0.6279423	0.118233	0.1537906
ENSG00000255198	ENSG00000164330	0.023178	0.9205635	-0.04375127	0.5987635
ENSG00000226711	ENSG00000164330	0.1836049	0.4256425	0.3137065	0.0001092136
ENSG00000233429	ENSG00000164330	0.4865039	0.02532622	0.1359331	0.1006603
ENSG00000238197	ENSG00000164330	0.01414312	0.9514818	0.536581	2.467285e-12
ENSG00000247400	ENSG00000164330	0.2753983	0.2269347	0.1155204	0.1635222
ENSG00000197989	ENSG00000164330	-0.1866071	0.4179806	-0.1930934	0.01911687
ENSG00000182165	ENSG00000164330	-0.08068993	0.7280705	-0.1398008	0.09125225
ENSG00000226950	ENSG00000164330	0.2008569	0.3826485	-0.009713351	0.9070459
ENSG00000253738	ENSG00000164330	0.07815929	0.7363019	0.3227027	6.709877e-05
ENSG00000235823	ENSG00000164330	-0.1176261	0.6115986	0.04768778	0.566256
ENSG00000175611	ENSG00000164330	0.1370336	0.5536363	0.4334105	4.173336e-08
ENSG00000236790	ENSG00000164330	-0.1002061	0.6656148	-0.04361024	0.5999435
ENSG00000245694	ENSG00000101210	-0.5099546	0.01819179	0.1983867	0.01600641
ENSG00000245532	ENSG00000101210	-0.3358282	0.1366602	0.0380282	0.6474577
ENSG00000268388	ENSG00000101210	-0.1003203	0.665255	-0.05972441	0.4723997
ENSG00000251562	ENSG00000101210	-0.03279845	0.887763	0.1522811	0.06557721
ENSG00000245532	ENSG00000203666	-0.2763844	0.2252078	-0.01624374	0.8451765
ENSG00000268388	ENSG00000142634	-0.00751029	0.9742254	-0.04374716	0.5987978
ENSG00000268388	ENSG00000243364	-0.152822	0.5083959	-0.1352843	0.102311
ENSG00000251562	ENSG00000243364	-0.2149709	0.3493744	0.06580878	0.4283977
ENSG00000245532	ENSG00000108947	-0.4219207	0.05676113	-0.05786341	0.4863342
ENSG00000251562	ENSG00000108883	-0.01494222	0.9487439	0.08180021	0.3246437
ENSG00000245694	ENSG00000108883	0.2337721	0.3077751	0.05362596	0.5188662
ENSG00000268388	ENSG00000108883	-0.08759018	0.7057744	-0.01127505	0.8921849
ENSG00000245694	ENSG00000172889	-0.4175841	0.05962725	-0.2245822	0.006243835
ENSG00000268388	ENSG00000110047	-0.060704	0.7937937	0.009786709	0.906347
ENSG00000245532	ENSG00000110047	0.1715206	0.4572318	0.3082429	0.0001457193
ENSG00000251562	ENSG00000024422	0.03450365	0.8819661	0.2116445	0.01007145
ENSG00000245105	ENSG00000141543	0.2141895	0.351171	0.0547972	0.5097644
ENSG00000255568	ENSG00000141543	0.002322426	0.9920285	-0.005708256	0.9452932
ENSG00000230091	ENSG00000141543	0.1035775	0.655025	0.1270683	0.1251052
ENSG00000236901	ENSG00000141543	0.2729822	0.2312025	-0.02162128	0.7949126
ENSG00000267080	ENSG00000141543	-0.08851166	0.7028139	-0.0150107	0.8567981
ENSG00000257167	ENSG00000141543	0.03794446	0.8702869	0.2372677	0.003808559
ENSG00000230417	ENSG00000141543	0.2672181	0.2415944	-0.02290381	0.7830401
ENSG00000242808	ENSG00000141543	0.1650961	0.4745044	0.06091247	0.463619
ENSG00000235823	ENSG00000141543	0.03256021	0.8885734	0.01972728	0.8125312
ENSG00000249835	ENSG00000141543	0.1536023	0.5062071	0.259226	0.001521798
ENSG00000267100	ENSG00000141543	-0.02443402	0.916273	0.03766015	0.6506439
ENSG00000258057	ENSG00000141543	-0.001342097	0.9953933	-0.009659179	0.907562
ENSG00000243069	ENSG00000141543	0.1546643	0.5032358	-0.05754536	0.4887375
ENSG00000263753	ENSG00000141543	-0.01676137	0.9425131	0.1071546	0.1964223
ENSG00000224939	ENSG00000141543	0.0171311	0.9412471	0.180338	0.0288325
ENSG00000235903	ENSG00000141543	-0.2773017	0.2236091	-0.04750481	0.5677481
ENSG00000230844	ENSG00000141543	0.05085866	0.8267018	0.1258019	0.1289426
ENSG00000175061	ENSG00000141543	0.05362919	0.8174105	0.266517	0.001102444
ENSG00000197332	ENSG00000141543	-0.3982476	0.07376623	0.170239	0.03925621
ENSG00000244968	ENSG00000141543	0.02598496	0.9109781	0.09371587	0.2588846
ENSG00000233452	ENSG00000141543	0.06029049	0.7951695	0.02076195	0.8028942
ENSG00000226913	ENSG00000141543	-0.299358	0.1874018	0.01808772	0.8278596
ENSG00000246985	ENSG00000141543	0.341264	0.1300303	-0.0360964	0.6642514
ENSG00000227398	ENSG00000141543	0.1410194	0.5420467	0.1494587	0.07079601
ENSG00000268006	ENSG00000141543	0.07306378	0.7529598	0.02735677	0.7422213
ENSG00000231770	ENSG00000141543	0.09547197	0.6805886	-0.003527192	0.9661798
ENSG00000253738	ENSG00000141543	0.446199	0.0426114	0.4810973	6.918252e-10
ENSG00000245910	ENSG00000141543	0.4147306	0.06157238	0.289491	0.0003759855
ENSG00000235663	ENSG00000141543	-0.1250888	0.5890192	0.02815933	0.7349365
ENSG00000224914	ENSG00000141543	0.1680727	0.4664612	0.1485414	0.07256303
ENSG00000237836	ENSG00000141543	-0.1018067	0.6605794	-0.02283608	0.7836658
ENSG00000237037	ENSG00000141543	0.2824523	0.214771	0.06928028	0.4043878
ENSG00000231028	ENSG00000141543	0.3332726	0.1398585	-0.02018371	0.8082764
ENSG00000224032	ENSG00000141543	-0.1379935	0.550835	0.06996463	0.3997504
ENSG00000204934	ENSG00000141543	-0.1225797	0.5965714	0.1360177	0.1004468
ENSG00000227199	ENSG00000141543	-0.0392461	0.8658753	0.05950851	0.474005
ENSG00000177337	ENSG00000141543	-0.02809322	0.9037865	0.1733618	0.03573907
ENSG00000264575	ENSG00000141543	0.08842817	0.703082	0.08478162	0.3072607
ENSG00000231154	ENSG00000141543	-0.3682594	0.1004742	-0.1326418	0.1092546
ENSG00000185837	ENSG00000141543	0.2087905	0.3637311	-0.1790252	0.03003757
ENSG00000226950	ENSG00000141543	-0.05600952	0.8094465	0.1613558	0.05088504
ENSG00000261485	ENSG00000141543	-0.02889084	0.9010675	-0.09058578	0.275201
ENSG00000258441	ENSG00000141543	-0.1734593	0.4520841	0.02642635	0.7506953
ENSG00000255867	ENSG00000141543	0.4583098	0.03666541	0.1526407	0.06493549
ENSG00000267296	ENSG00000141543	-0.1296508	0.5753929	-0.1303235	0.1156455
ENSG00000230513	ENSG00000141543	0.05299641	0.8195306	0.06594033	0.4274731
ENSG00000237149	ENSG00000141543	-0.253258	0.267996	-0.1378129	0.09599651
ENSG00000250802	ENSG00000141543	-0.2037437	0.375702	0.02369939	0.7757001
ENSG00000230487	ENSG00000141543	0.02384321	0.9182909	0.1436514	0.08259437
ENSG00000224281	ENSG00000141543	0.004497994	0.9845617	-0.0509961	0.5396014
ENSG00000247950	ENSG00000141543	-0.1871247	0.4166672	-0.03301227	0.6914089
ENSG00000206417	ENSG00000141543	0.0651238	0.779126	-0.02660996	0.7490206
ENSG00000197989	ENSG00000141543	-0.1341733	0.5620214	-0.008861561	0.9151654
ENSG00000244879	ENSG00000141543	0.06848138	0.7680312	0.04311143	0.6041253
ENSG00000234492	ENSG00000141543	0.04130574	0.8589026	0.1174625	0.1565094
ENSG00000231249	ENSG00000141543	0.07934168	0.7324524	-0.1046733	0.2070455
ENSG00000224165	ENSG00000141543	0.1665731	0.4705046	-0.07317853	0.378399
ENSG00000255857	ENSG00000141543	-0.1356073	0.5578106	0.004929424	0.952748
ENSG00000247400	ENSG00000141543	-0.2015605	0.3809489	-0.01723383	0.8358687
ENSG00000245573	ENSG00000141543	0.07137196	0.7585144	-0.002384912	0.9771288
ENSG00000234684	ENSG00000141543	0.2082958	0.3648948	0.2182763	0.007908002
ENSG00000269893	ENSG00000141543	-0.2017838	0.3804102	-0.05812407	0.4843694
ENSG00000231889	ENSG00000141543	0.2972056	0.1907479	0.2338341	0.004364873
ENSG00000248079	ENSG00000141543	-0.09322049	0.6877511	0.1117461	0.1778167
ENSG00000180769	ENSG00000141543	0.04655777	0.8411692	0.1462117	0.07721185
ENSG00000238197	ENSG00000141543	0.204344	0.3742666	-0.01567654	0.8505185
ENSG00000230679	ENSG00000141543	0.1350058	0.559575	0.1761645	0.03281262
ENSG00000175147	ENSG00000141543	-0.2687382	0.2388252	-0.1809352	0.02829806
ENSG00000175611	ENSG00000141543	0.3241619	0.1516904	-0.01748025	0.8335556
ENSG00000250107	ENSG00000141543	-0.2955945	0.1932789	0.346616	1.702482e-05
ENSG00000255198	ENSG00000141543	0.1902299	0.408835	-0.1511055	0.06771164
ENSG00000177640	ENSG00000141543	-0.1038742	0.6540962	0.2378199	0.003725296
ENSG00000233429	ENSG00000141543	0.2583057	0.2582478	0.07656867	0.3566461
ENSG00000225439	ENSG00000141543	0.357371	0.1117355	0.1606804	0.05187528
ENSG00000227354	ENSG00000141543	-0.1880372	0.4143572	0.007517483	0.9279949
ENSG00000261824	ENSG00000141543	0.1663551	0.471094	0.113844	0.1697617
ENSG00000182165	ENSG00000141543	0.04575222	0.8438845	-0.02096309	0.8010242
ENSG00000270419	ENSG00000141543	0.07177009	0.7572062	-0.001727817	0.9834293
ENSG00000251562	ENSG00000141642	0.2217942	0.3339145	0.111252	0.1797543
ENSG00000268388	ENSG00000006744	0.3796727	0.08958585	0.1424135	0.08530283
ENSG00000245694	ENSG00000006744	-0.3156787	0.1633209	-0.07104963	0.3924634
ENSG00000269893	ENSG00000066044	-0.3721083	0.09669945	-0.02561369	0.7581212
ENSG00000267080	ENSG00000066044	0.07317033	0.7526103	0.2163611	0.008485945
ENSG00000237149	ENSG00000066044	-0.3809335	0.08843885	0.007224823	0.930791
ENSG00000230844	ENSG00000066044	0.371513	0.09727631	0.2298012	0.005110589
ENSG00000263753	ENSG00000066044	0.4742328	0.02985786	0.3366285	3.060814e-05
ENSG00000245910	ENSG00000066044	-0.06812058	0.7692214	0.2769665	0.0006836326
ENSG00000224032	ENSG00000066044	-0.2424999	0.2895363	0.1072626	0.1959691
ENSG00000261824	ENSG00000066044	0.4486955	0.04132837	0.2832615	0.0005079502
ENSG00000235823	ENSG00000066044	-0.004860753	0.9833168	0.1715885	0.03770215
ENSG00000258057	ENSG00000066044	-0.08089023	0.7274202	0.1558584	0.05941802
ENSG00000255198	ENSG00000066044	0.123969	0.5923846	-0.3224527	6.802759e-05
ENSG00000175611	ENSG00000066044	0.2109353	0.3587111	0.1041692	0.2092533
ENSG00000175061	ENSG00000066044	0.3961179	0.07546511	0.2704964	0.0009210581
ENSG00000197989	ENSG00000066044	-0.1040126	0.6536628	0.01497078	0.8571749
ENSG00000244879	ENSG00000066044	0.2008235	0.3827292	0.1553695	0.06023066
ENSG00000230513	ENSG00000066044	0.01284295	0.9559377	0.1827029	0.02676539
ENSG00000226950	ENSG00000066044	0.3723769	0.09643996	-0.06862647	0.4088478
ENSG00000236901	ENSG00000066044	0.3770939	0.09196603	0.1255057	0.1298533
ENSG00000253738	ENSG00000120690	0.1112597	0.6311342	0.6052536	4.66208e-16
ENSG00000226950	ENSG00000120690	-0.5070795	0.01896761	-0.2038905	0.01324866
ENSG00000238197	ENSG00000120690	-0.2193775	0.3393432	0.4121893	2.132822e-07
ENSG00000245910	ENSG00000120690	-0.3167936	0.1617581	-0.1074458	0.1952018
ENSG00000175611	ENSG00000120690	-0.1533046	0.5070416	0.2808816	0.0005687852
ENSG00000177640	ENSG00000120690	-0.2997228	0.1868386	0.3636612	5.968002e-06
ENSG00000268388	ENSG00000102034	-0.03478956	0.8809947	-0.04350983	0.6007842
ENSG00000251562	ENSG00000118985	0.4663877	0.03307478	0.2538871	0.001916048
ENSG00000268388	ENSG00000179387	-0.0184437	0.9367538	0.02042878	0.8059942
ENSG00000268388	ENSG00000066322	-0.01529152	0.9475473	-0.0877028	0.2908315
ENSG00000245532	ENSG00000066322	0.1807891	0.4328967	0.003513748	0.9663087
ENSG00000245694	ENSG00000066322	0.3155456	0.1635082	0.28104	0.0005645363
ENSG00000245694	ENSG00000161671	-0.3315508	0.142043	0.06477033	0.4357362
ENSG00000245532	ENSG00000214595	-0.4786933	0.02814207	0.04752918	0.5675493
ENSG00000245532	ENSG00000167136	-0.5238205	0.01479999	0.1116554	0.1781712
ENSG00000245694	ENSG00000167136	-0.3713491	0.09743566	0.08502616	0.3058624
ENSG00000245532	ENSG00000188833	0.3549987	0.1143058	-0.01565793	0.8506938
ENSG00000177640	ENSG00000100393	0.1097264	0.6358753	0.3983353	5.831952e-07
ENSG00000259974	ENSG00000100393	0.1124314	0.6275203	-0.06380066	0.442653
ENSG00000182165	ENSG00000100393	-0.1203497	0.6033171	-0.1761755	0.03280154
ENSG00000245910	ENSG00000100393	-0.06981619	0.7636325	-0.1766309	0.03234591
ENSG00000152931	ENSG00000100393	0.1435306	0.5348027	-0.01189642	0.8862821
ENSG00000226950	ENSG00000100393	-0.1657597	0.4727053	-0.1714765	0.03782918
ENSG00000197989	ENSG00000100393	-0.2235852	0.3299248	-0.3139414	0.0001078543
ENSG00000175611	ENSG00000100393	0.3632089	0.1055895	0.2150414	0.008905643
ENSG00000236790	ENSG00000100393	-0.161726	0.4836948	0.02246664	0.7870816
ENSG00000235823	ENSG00000100393	0.01071072	0.9632479	0.04131038	0.6193314
ENSG00000264575	ENSG00000100393	0.1223183	0.5973605	0.2202526	0.007348467
ENSG00000255198	ENSG00000100393	0.02631243	0.9098606	-0.4241803	8.602493e-08
ENSG00000224939	ENSG00000100393	-0.1456929	0.528601	0.05466916	0.5107554
ENSG00000268388	ENSG00000082397	-0.1806227	0.4333273	0.1031712	0.2136738
ENSG00000245532	ENSG00000142627	0.06248674	0.7878691	0.3295667	4.578836e-05
ENSG00000251562	ENSG00000196411	-0.2023192	0.3791208	0.1041755	0.2092256
ENSG00000245532	ENSG00000196411	0.1783403	0.4392584	0.2345983	0.004235112
ENSG00000245694	ENSG00000196411	0.3317504	0.1417885	0.3752116	2.832591e-06
ENSG00000245532	ENSG00000187266	-0.3462515	0.1241517	0.3203214	7.644826e-05
ENSG00000268388	ENSG00000133106	0.07609543	0.7430357	0.02966863	0.7213009
ENSG00000228630	ENSG00000141736	0.319187	0.1584385	0.03051465	0.7136954
ENSG00000251562	ENSG00000141736	-0.224709	0.3274358	-0.04974246	0.5496283
ENSG00000245532	ENSG00000065361	0.4954857	0.02236973	0.2412949	0.003237886
ENSG00000245694	ENSG00000049167	-0.2481998	0.2779941	-0.008312405	0.9204047
ENSG00000264575	ENSG00000157554	-0.2025122	0.3786565	0.1990186	0.01566627
ENSG00000247400	ENSG00000157554	-0.186634	0.4179123	0.1276024	0.1235133
ENSG00000235823	ENSG00000157554	-0.2511578	0.2721194	-0.03282478	0.693073
ENSG00000255198	ENSG00000157554	-0.1231917	0.5947256	-0.07815167	0.3467614
ENSG00000238197	ENSG00000157554	-0.02415478	0.9172266	0.5062205	6.10998e-11
ENSG00000180769	ENSG00000157554	0.06384132	0.7833749	0.7438074	3.770601e-27
ENSG00000233429	ENSG00000157554	0.749287	9.259433e-05	0.1150863	0.1651211
ENSG00000174680	ENSG00000157554	0.06733868	0.7718024	0.1903004	0.02095959
ENSG00000152931	ENSG00000157554	-0.2842085	0.2118113	0.07115687	0.3917475
ENSG00000197989	ENSG00000157554	-0.1231507	0.5948491	-0.2945057	0.0002936352
ENSG00000245910	ENSG00000157554	-0.2607429	0.253623	-0.1852387	0.024691
ENSG00000226950	ENSG00000157554	-0.2835623	0.2128972	-0.05561973	0.5034223
ENSG00000175611	ENSG00000157554	0.1108423	0.6324234	0.3502674	1.366967e-05
ENSG00000177640	ENSG00000157554	-0.2694307	0.2375704	0.1406792	0.08921631
ENSG00000227354	ENSG00000157554	-0.1474136	0.5236902	0.4295672	5.654942e-08
ENSG00000182165	ENSG00000157554	-0.3743918	0.09450973	-0.1935097	0.01885459
ENSG00000253738	ENSG00000157554	0.02624243	0.9100995	0.3738246	3.102471e-06
ENSG00000245694	ENSG00000113719	0.3928831	0.07810138	0.2182719	0.007909288
ENSG00000245694	ENSG00000197930	0.6553542	0.001260521	0.3322788	3.92719e-05
ENSG00000268388	ENSG00000089248	0.1765019	0.4440665	-0.08810107	0.2886377
ENSG00000245532	ENSG00000187017	0.3110757	0.1698833	0.0862153	0.2991229
ENSG00000175611	ENSG00000173153	-0.5069041	0.0190158	-0.09500672	0.252353
ENSG00000226950	ENSG00000173153	-0.3329203	0.1403036	-0.07023143	0.3979512
ENSG00000264575	ENSG00000173153	-0.6561189	0.001238436	0.04847461	0.5598603
ENSG00000245532	ENSG00000143845	-0.5553457	0.008962924	0.1300129	0.1165234
ENSG00000247400	ENSG00000134954	-0.2753363	0.2270435	-0.07192056	0.3866722
ENSG00000253738	ENSG00000134954	0.1074386	0.6429748	0.3780826	2.343075e-06
ENSG00000255198	ENSG00000134954	-0.08486891	0.7145408	-0.1217297	0.1418973
ENSG00000264575	ENSG00000134954	-0.2245379	0.3278141	0.06961622	0.4021074
ENSG00000226950	ENSG00000134954	-0.3809069	0.08846297	-0.135423	0.1019562
ENSG00000235823	ENSG00000134954	-0.3423987	0.1286758	-0.06606985	0.426564
ENSG00000227354	ENSG00000134954	-0.262111	0.2510503	0.457858	5.518435e-09
ENSG00000175611	ENSG00000134954	0.07763999	0.7379945	0.3155801	9.880231e-05
ENSG00000245910	ENSG00000134954	-0.194856	0.3973174	0.1308283	0.1142296
ENSG00000197989	ENSG00000134954	-0.1511991	0.5129624	-0.04798618	0.5638264
ENSG00000238197	ENSG00000134954	-0.05560595	0.8107955	0.3362001	3.1374e-05
ENSG00000177640	ENSG00000134954	-0.3737411	0.09512996	0.01369752	0.8692087
ENSG00000182165	ENSG00000134954	-0.3556591	0.113586	-0.1377485	0.09615334
ENSG00000245694	ENSG00000139083	0.4710546	0.03112992	0.1470256	0.0755612
ENSG00000268388	ENSG00000139083	0.06207715	0.7892293	0.1079743	0.1930011
ENSG00000175061	ENSG00000182944	0.2493663	0.2756679	0.1857636	0.02427926
ENSG00000242808	ENSG00000182944	0.08519859	0.7134769	0.01113565	0.89351
ENSG00000258441	ENSG00000182944	-0.1307729	0.5720622	0.3537561	1.105525e-05
ENSG00000260329	ENSG00000182944	-0.0281124	0.9037211	0.007425462	0.928874
ENSG00000260257	ENSG00000182944	0.153421	0.5067155	0.2139753	0.009257983
ENSG00000261188	ENSG00000182944	0.4235799	0.05569287	0.4304759	5.264773e-08
ENSG00000260572	ENSG00000182944	0.4008552	0.07172546	0.29314	0.0003142246
ENSG00000261824	ENSG00000182944	0.02540632	0.9129532	0.187065	0.02328377
ENSG00000260855	ENSG00000182944	0.3206578	0.1564221	0.2378158	0.003725907
ENSG00000265800	ENSG00000182944	-0.1251613	0.5888014	0.1939961	0.01855208
ENSG00000270681	ENSG00000182944	-0.2459188	0.2825781	0.1180933	0.1542809
ENSG00000230002	ENSG00000182944	0.09126807	0.6939831	0.0744993	0.3698299
ENSG00000175061	ENSG00000182944	0.2493663	0.2756679	0.1857636	0.02427926
ENSG00000234327	ENSG00000182944	0.04840311	0.8349555	0.1925679	0.01945244
ENSG00000269893	ENSG00000182944	-0.114352	0.6216146	0.0148299	0.8585048
ENSG00000261839	ENSG00000182944	0.3000236	0.1863752	0.04951873	0.5514272
ENSG00000197989	ENSG00000182944	0.230939	0.3138423	0.3145696	0.0001042959
ENSG00000257698	ENSG00000182944	-0.177295	0.4419888	0.007202322	0.931006
ENSG00000245694	ENSG00000157036	-0.614451	0.003040139	-0.04704783	0.5714832
ENSG00000268388	ENSG00000157036	0.3247514	0.1509044	0.1632191	0.0482341
ENSG00000231028	ENSG00000106462	-0.553873	0.009185158	-0.1595344	0.05359205
ENSG00000214719	ENSG00000106462	-0.6651916	0.001000399	0.07400919	0.3729957
ENSG00000251095	ENSG00000106462	-0.1374314	0.5524748	0.2088174	0.01114213
ENSG00000245573	ENSG00000106462	-0.5298799	0.0134882	-0.01693646	0.838662
ENSG00000242808	ENSG00000106462	-0.6668226	0.0009620186	-0.1079723	0.1930094
ENSG00000245694	ENSG00000169122	-0.3714569	0.09733088	-0.2540888	0.00189961
ENSG00000251562	ENSG00000154319	0.1458813	0.5280623	-0.04415118	0.5954231
ENSG00000251562	ENSG00000161682	0.0928935	0.6887935	0.06847228	0.4099038
ENSG00000268388	ENSG00000161682	0.1377492	0.5515474	0.04321997	0.6032143
ENSG00000245694	ENSG00000113391	-0.3967624	0.07494795	-0.1798851	0.0292435
ENSG00000268388	ENSG00000113391	0.03221255	0.8897561	0.1421796	0.08582248
ENSG00000245694	ENSG00000174132	-0.3668678	0.1018651	0.004528018	0.9565919
ENSG00000251562	ENSG00000174132	0.2008168	0.3827455	0.1586666	0.05492294
ENSG00000268388	ENSG00000139438	-0.06423903	0.7820566	-0.03558156	0.6687558
ENSG00000245694	ENSG00000219626	-0.5812274	0.005721425	-0.05018493	0.5460789
ENSG00000245532	ENSG00000188610	0.1442231	0.5328127	0.05051819	0.5434131
ENSG00000251562	ENSG00000101447	-0.2418359	0.2908998	-0.00192509	0.9815376
ENSG00000245532	ENSG00000127585	-0.322095	0.1544692	-0.08333387	0.3156241
ENSG00000245694	ENSG00000127585	-0.5595473	0.00835299	-0.1859934	0.02410089
ENSG00000251562	ENSG00000153558	0.2589541	0.2570123	0.2759242	0.0007176175
ENSG00000268388	ENSG00000153558	-0.2014353	0.3812509	-0.0158617	0.8487739
ENSG00000245694	ENSG00000163013	-0.4874945	0.0249857	0.1739248	0.03513417
ENSG00000268388	ENSG00000116663	0.1068493	0.6448085	0.02226045	0.7889897
ENSG00000245694	ENSG00000116663	-0.005524789	0.981038	-0.03119523	0.7075976
ENSG00000245532	ENSG00000130475	0.1970941	0.3918104	0.1507566	0.06835578
ENSG00000251562	ENSG00000130475	0.003121823	0.9892848	0.2712407	0.0008903346
ENSG00000268388	ENSG00000079459	0.2585477	0.2577862	-0.06684706	0.4211319
ENSG00000245694	ENSG00000079459	0.2713293	0.2341521	0.1825661	0.02688146
ENSG00000268388	ENSG00000141965	0.0938679	0.6856888	-0.005139632	0.9507355
ENSG00000251562	ENSG00000149781	0.003410932	0.9882925	0.2644547	0.001208798
ENSG00000251562	ENSG00000180263	0.1218978	0.5986308	0.1321513	0.1105833
ENSG00000245694	ENSG00000102466	-0.4131553	0.0626667	-0.170837	0.03856109
ENSG00000251562	ENSG00000022267	0.359498	0.109467	0.1202014	0.1470065
ENSG00000268388	ENSG00000022267	0.3998218	0.07252912	0.8252706	8.32344e-38
ENSG00000268388	ENSG00000181027	0.009774146	0.9664597	0.1361173	0.1001957
ENSG00000245532	ENSG00000181027	-0.5330766	0.0128351	0.210945	0.01032755
ENSG00000268388	ENSG00000155816	-0.1337337	0.563315	0.2036043	0.01338105
ENSG00000245532	ENSG00000155816	-0.3120787	0.1684381	-0.1602448	0.05252237
ENSG00000251562	ENSG00000155816	0.2568213	0.2610908	0.130754	0.1144371
ENSG00000245910	ENSG00000102081	-0.2496104	0.2751828	0.08457897	0.3084226
ENSG00000197989	ENSG00000102081	-0.1291043	0.5770181	0.1106474	0.182146
ENSG00000253738	ENSG00000102081	0.3877004	0.08246769	0.6077717	3.271134e-16
ENSG00000225937	ENSG00000102081	0.1489149	0.519423	0.09380251	0.2584427
ENSG00000235823	ENSG00000102081	0.1070283	0.6442514	0.2933659	0.0003107288
ENSG00000257167	ENSG00000102081	0.09334151	0.6873654	0.06653833	0.4232849
ENSG00000260257	ENSG00000102081	-0.09182443	0.6922053	-0.03798859	0.6478003
ENSG00000269893	ENSG00000102081	-0.5324616	0.01295872	-0.1300392	0.1164486
ENSG00000263731	ENSG00000102081	0.1422208	0.5385755	0.01081175	0.89659
ENSG00000204934	ENSG00000102081	-0.09042718	0.6966731	0.0324946	0.6960072
ENSG00000225439	ENSG00000102081	0.05383546	0.8167197	0.3504279	1.353757e-05
ENSG00000255198	ENSG00000102081	-0.2603784	0.2543113	-0.3717644	3.548824e-06
ENSG00000230844	ENSG00000102081	0.1272491	0.5825495	0.2978726	0.0002480941
ENSG00000260260	ENSG00000102081	-0.1830112	0.4271666	-0.3069577	0.0001558213
ENSG00000255435	ENSG00000102081	0.147026	0.5247945	0.385976	1.377752e-06
ENSG00000267100	ENSG00000102081	0.03216521	0.8899172	0.1297265	0.1173375
ENSG00000175061	ENSG00000102081	-0.2498126	0.2747812	0.2096872	0.01080252
ENSG00000259712	ENSG00000102081	-0.1083038	0.6402865	0.2895816	0.0003743239
ENSG00000263753	ENSG00000102081	0.2737889	0.2297717	0.3180941	8.628387e-05
